23.15,69002,1.59,4.98,6.04,36.63,46.66,48.96,50.61,52.61,53.7,56.07
1.88,55868,23.15,24.74,28.13,29.19,59.78,69.81,72.11,73.76,75.76,76.85
1.14,96791,1.88,25.03,26.62,30.01,31.07,61.66,71.69,73.99,75.64,77.64
2.04,50403,1.14,3.02,26.17,27.76,31.15,32.21,62.8,72.83,75.13,76.78
6.04,49177,2.04,3.18,5.06,28.21,29.8,33.19,34.25,64.84,74.87,77.17
1,57506,6.04,8.08,9.22,11.1,34.25,35.84,39.23,40.29,70.88,80.91
1.57,30727,1,7.04,9.08,10.22,12.1,35.25,36.84,40.23,41.29,71.88
6.35,71949,1.57,2.57,8.61,10.65,11.79,13.67,36.82,38.41,41.8,42.86
2.11,99359,6.35,7.92,8.92,14.96,17,18.14,20.02,43.17,44.76,48.15
1.74,36915,2.11,8.46,10.03,11.03,17.07,19.11,20.25,22.13,45.28,46.87
31.95,34766,1.74,3.85,10.2,11.77,12.77,18.81,20.85,21.99,23.87,47.02
6.77,50446,31.95,33.69,35.8,42.15,43.72,44.72,50.76,52.8,53.94,55.82
3.36,28910,6.77,38.72,40.46,42.57,48.92,50.49,51.49,57.53,59.57,60.71
3.01,78500,3.36,10.13,42.08,43.82,45.93,52.28,53.85,54.85,60.89,62.93
4.39,93267,3.01,6.37,13.14,45.09,46.83,48.94,55.29,56.86,57.86,63.9
1.12,79440,4.39,7.4,10.76,17.53,49.48,51.22,53.33,59.68,61.25,62.25
1.14,57511,1.12,5.51,8.52,11.88,18.65,50.6,52.34,54.45,60.8,62.37
1.67,42957,1.14,2.26,6.65,9.66,13.02,19.79,51.74,53.48,55.59,61.94
1.11,27000,1.67,2.81,3.93,8.32,11.33,14.69,21.46,53.41,55.15,57.26
1.55,31615,1.11,2.78,3.92,5.04,9.43,12.44,15.8,22.57,54.52,56.26
6.2,73542,1.55,2.66,4.33,5.47,6.59,10.98,13.99,17.35,24.12,56.07
2.83,86922,6.2,7.75,8.86,10.53,11.67,12.79,17.18,20.19,23.55,30.32
5.06,48055,2.83,9.03,10.58,11.69,13.36,14.5,15.62,20.01,23.02,26.38
7.14,94026,5.06,7.89,14.09,15.64,16.75,18.42,19.56,20.68,25.07,28.08
3.77,61378,7.14,12.2,15.03,21.23,22.78,23.89,25.56,26.7,27.82,32.21
2.75,71606,3.77,10.91,15.97,18.8,25,26.55,27.66,29.33,30.47,31.59
7.42,77127,2.75,6.52,13.66,18.72,21.55,27.75,29.3,30.41,32.08,33.22
4.33,75675,7.42,10.17,13.94,21.08,26.14,28.97,35.17,36.72,37.83,39.5
1.3,79465,1.26,5.59,13.01,15.76,19.53,26.67,31.73,34.56,40.76,42.31
8.79,73155,1.3,2.56,6.89,14.31,17.06,20.83,27.97,33.03,35.86,42.06
1.03,77166,14.25,23.04,24.34,25.6,29.93,37.35,40.1,43.87,51.01,56.07
4.12,50315,1.03,15.28,24.07,25.37,26.63,30.96,38.38,41.13,44.9,52.04
1.11,70111,4.12,5.15,19.4,28.19,29.49,30.75,35.08,42.5,45.25,49.02
1,71533,1.11,5.23,6.26,20.51,29.3,30.6,31.86,36.19,43.61,46.36
1.75,69573,1,2.11,6.23,7.26,21.51,30.3,31.6,32.86,37.19,44.61
3.75,77593,1.75,2.75,3.86,7.98,9.01,23.26,32.05,33.35,34.61,38.94
1.86,82984,3.75,5.5,6.5,7.61,11.73,12.76,27.01,35.8,37.1,38.36
4.64,68747,2.44,4.3,8.05,9.8,10.8,11.91,16.03,17.06,31.31,40.1
15.99,68752,4.64,7.08,8.94,12.69,14.44,15.44,16.55,20.67,21.7,35.95
24.04,47909,15.99,20.63,23.07,24.93,28.68,30.43,31.43,32.54,36.66,37.69
3.48,61540,24.04,40.03,44.67,47.11,48.97,52.72,54.47,55.47,56.58,60.7
4.64,80886,2.72,6.2,30.24,46.23,50.87,53.31,55.17,58.92,60.67,61.67
12.9,35124,1.51,6.39,10.74,13.05,14.37,16.16,17.38,21,24.16,25.96
2.28,62126,12.9,14.41,19.29,23.64,25.95,27.27,29.06,30.28,33.9,37.06
1.34,70408,2.28,15.18,16.69,21.57,25.92,28.23,29.55,31.34,32.56,36.18
6.48,87766,1.34,3.62,16.52,18.03,22.91,27.26,29.57,30.89,32.68,33.9
1.1,84873,6.48,7.82,10.1,23,24.51,29.39,33.74,36.05,37.37,39.16
1.1,90088,1.1,7.58,8.92,11.2,24.1,25.61,30.49,34.84,37.15,38.47
2.05,64800,1.1,2.2,8.68,10.02,12.3,25.2,26.71,31.59,35.94,38.25
3.74,63071,2.05,3.15,4.25,10.73,12.07,14.35,27.25,28.76,33.64,37.99
1.13,45373,3.74,5.79,6.89,7.99,14.47,15.81,18.09,30.99,32.5,37.38
1.09,50089,1.13,4.87,6.92,8.02,9.12,15.6,16.94,19.22,32.12,33.63
1.21,53749,1.09,2.22,5.96,8.01,9.11,10.21,16.69,18.03,20.31,33.21
1.21,64747,1.21,2.3,3.43,7.17,9.22,10.32,11.42,17.9,19.24,21.52
4.36,87861,1.21,2.42,3.51,4.64,8.38,10.43,11.53,12.63,19.11,20.45
1.83,49419,4.36,5.57,6.78,7.87,9,12.74,14.79,15.89,16.99,23.47
3.11,71157,1.83,6.19,7.4,8.61,9.7,10.83,14.57,16.62,17.72,18.82
2.6,34329,3.11,4.94,9.3,10.51,11.72,12.81,13.94,17.68,19.73,20.83
1.03,64586,2.6,5.71,7.54,11.9,13.11,14.32,15.41,16.54,20.28,22.33
1.15,49126,1.03,3.63,6.74,8.57,12.93,14.14,15.35,16.44,17.57,21.31
1.15,60393,1.15,2.18,4.78,7.89,9.72,14.08,15.29,16.5,17.59,18.72
2.38,42315,1.15,2.3,3.33,5.93,9.04,10.87,15.23,16.44,17.65,18.74
3.29,51208,2.38,3.53,4.68,5.71,8.31,11.42,13.25,17.61,18.82,20.03
3.9,47792,3.29,5.67,6.82,7.97,9,11.6,14.71,16.54,20.9,22.11
1.49,48978,3.9,7.19,9.57,10.72,11.87,12.9,15.5,18.61,20.44,24.8
1.54,50303,1.49,5.39,8.68,11.06,12.21,13.36,14.39,16.99,20.1,21.93
2.39,52239,1.54,3.03,6.93,10.22,12.6,13.75,14.9,15.93,18.53,21.64
2.15,50564,2.39,3.93,5.42,9.32,12.61,14.99,16.14,17.29,18.32,20.92
2.59,42198,6.16,8.31,10.7,12.24,13.73,17.63,20.92,23.3,24.45,25.6
1.87,78686,2.59,8.75,10.9,13.29,14.83,16.32,20.22,23.51,25.89,27.04
2.86,44869,1.87,4.46,10.62,12.77,15.16,16.7,18.19,22.09,25.38,27.76
1.13,62356,2.86,4.73,7.32,13.48,15.63,18.02,19.56,21.05,24.95,28.24
3.92,64365,1.13,3.99,5.86,8.45,14.61,16.76,19.15,20.69,22.18,26.08
1.05,95321,3.92,5.05,7.91,9.78,12.37,18.53,20.68,23.07,24.61,26.1
2.55,83982,1.05,4.97,6.1,8.96,10.83,13.42,19.58,21.73,24.12,25.66
1.87,54881,2.55,3.6,7.52,8.65,11.51,13.38,15.97,22.13,24.28,26.67
1.01,72878,1.87,4.42,5.47,9.39,10.52,13.38,15.25,17.84,24,26.15
2.05,51625,1.01,2.88,5.43,6.48,10.4,11.53,14.39,16.26,18.85,25.01
10,94419,2.05,3.06,4.93,7.48,8.53,12.45,13.58,16.44,18.31,20.9
3.78,51026,10,12.05,13.06,14.93,17.48,18.53,22.45,23.58,26.44,28.31
1.04,65687,3.78,13.78,15.83,16.84,18.71,21.26,22.31,26.23,27.36,30.22
1.1,83128,2.49,5.19,7.71,9.08,12.88,13.96,14.96,39.27,43.63,44.74
1.02,63752,17.05,42.84,45.41,47.01,67.4,68.8,84.75,88.24,91.05,94.78
3.01,43140,3.72,5.8,9.27,10.29,27.34,53.13,55.7,57.3,77.69,79.09
1.91,56816,3.01,6.73,8.81,12.28,13.3,30.35,56.14,58.71,60.31,80.7
2.95,57203,1.91,4.92,8.64,10.72,14.19,15.21,32.26,58.05,60.62,62.22
1.24,72197,2.95,4.86,7.87,11.59,13.67,17.14,18.16,35.21,61,63.57
1.31,59039,1.24,4.19,6.1,9.11,12.83,14.91,18.38,19.4,36.45,62.24
