3.67,34764,-2095,227.6,224.27,-913864,-700342,-241181,-44088,-214302
3.08,113675,45378,229.62,226.14,-952751,-591317,-207102,-96220,-170192
1,169380,-169380,231.02,12.29,-969500,-559872,-120117,-58176,-22268
1.61,72066,-47793,230.22,7.75,-1132401,-641827,-230306,-156939,-111913
1,38067,-38067,14.9,5.69,-1093560,-632418,-303464,-157723,-215283
1.09,43460,-43347,10.36,3.61,-1165963,-705218,-299051,-271824,-189834
1.86,71533,-44984,7.78,3.7,-1184541,-757436,-358921,-451553,-215063
15.57,134198,121211,6.56,3.95,-1264742,-829720,-414900,-517371,-245865
2.63,115676,-6708,21.13,18.52,-1137716,-619976,-228361,-414170,-111096
1.14,74990,-62353,22.15,20.06,-1119157,-649666,-184878,-374429,-156267
5.47,89372,13972,22.29,19.34,-1222895,-646206,-292226,-462440,-248138
1.07,107155,-107050,26.67,9.24,-1279558,-588639,-328291,-402263,-232071
5.78,55492,32754,25.88,7.68,-1352373,-752436,-442675,-406767,-384499
1.29,99103,-7795,16.09,12.32,-1268511,-649058,-339304,-294278,-182365
6.96,126346,33132,14.75,8.14,-1252065,-709864,-300090,-357650,-142367
2.3,45025,-4644,20.57,14.03,-1228560,-661635,-342992,-261002,-71168
5.99,35781,11436,17.4,10.55,-1275318,-593949,-484018,-247528,-32465
2.84,70649,413,22.32,15.25,-1278086,-487524,-493416,-221910,23955
1.8,440493,-2138,19.38,11.13,-1252502,-467381,-511013,-207939,-96843
9.47,42864,19080,19.89,10.63,-1249104,-456995,-466702,-248540,-92273
1.03,70656,-69202,22.4,14.11,-1211479,-500159,-473280,-258978,-10840
4.73,83297,14412,21.13,12.3,-1327425,-533187,-496277,-326085,-94014
1.82,500509,1762,19.87,15.23,-1400727,-477168,-379319,-357051,27448
1.03,84797,-84794,18.85,7.58,-1304502,-416215,-297822,-185909,-3544
1.21,47230,-40946,18.08,7.58,-1446405,-526374,-438193,-222910,-80543
1.28,68972,-51465,9.82,4.06,-1437591,-524840,-415623,-225789,-154621
1.2,93034,-76495,10.07,3.52,-1435434,-592828,-448970,-233907,-201442
5.06,108281,63892,6.54,3.69,-1617522,-680318,-511283,-265418,-289373
8.64,67833,49338,9.78,7.54,-1632739,-551098,-433833,-322737,-225894
5.93,51221,33254,17.39,14.9,-1522898,-451569,-422958,-266691,-174418
2.44,73744,-14631,22.11,19.63,-1558650,-463310,-419222,-171084,-160244
1.75,69048,5822,23.27,17.01,-1549553,-527978,-431758,-199687,-105673
6.46,46633,10606,23.82,10.12,-1515481,-529490,-471314,-86815,-114263
3.47,40002,-4451,25.22,10.65,-1559911,-448267,-291328,-108963,-105419
8.9,82908,20645,20.05,11.68,-1489396,-405709,-247986,-105619,-25076
1,85509,-85509,23.02,18.83,-1356090,-461098,-189274,-118106,36515
1.37,133129,-127528,21.58,13.37,-1409721,-682989,-231436,-198971,2471
1.48,75008,-56047,21.2,11.27,-1460404,-831351,-313980,-337935,-48562
11.39,90776,75104,16.22,3.85,-1483346,-905408,-491238,-394395,-168501
12.12,58318,70596,24.14,14.24,-1511166,-783855,-409426,-317153,-142735
8.46,64138,46570,27.36,24.99,-1391260,-738917,-276477,-265637,-105393
72.43,68063,172629,34.82,31.97,-1300259,-646142,-243879,-149865,-44192
1.55,66485,-52476,105.88,93.01,-1148436,-370967,35800,8352,122615
3.7,57557,31821,105.95,82.44,-1222005,-343708,-49430,-45886,59533
18.94,58008,78778,98.26,77.68,-1217023,-367464,-9814,70729,95805
1.43,74671,-43705,105.08,24.19,-1055743,-225170,35832,190453,153938
1.13,47062,-45919,98.05,24.07,-1129796,-250757,-3229,198213,195742
1.03,497747,-497104,26.75,21.5,-1098881,-282494,-60584,228789,277351
1.34,104140,-78803,26.23,3.59,-1667890,-766040,-558101,-332207,-163706
1.53,59518,-12752,23.87,3.5,-1735956,-883306,-634766,-460348,-317613
1.61,98724,-77635,6.46,3.9,-1625918,-925576,-666598,-506354,-400961
1.49,79568,-72992,6.64,4.48,-1592433,-1001116,-675031,-569358,-525166
3.14,116179,98604,7,4.63,-1679358,-1119486,-762435,-648172,-770787
1.53,84154,-55277,9.11,6.24,-1493329,-851502,-665593,-560174,-619707
1.93,55234,-22314,9.3,6.16,-1491404,-858986,-636076,-611000,-706805
9.35,81347,28146,9.7,6.6,-1548451,-843233,-617444,-653959,-807897
1.26,35297,-20252,17.44,12.81,-1529176,-771740,-537833,-540304,-736046
1.45,162625,-119364,17.21,12.54,-1576728,-747008,-481590,-433028,-710379
1.88,51976,-19729,15.52,12.06,-1607559,-987583,-664846,-496345,-332639
1.23,66541,-49161,15.87,4.59,-1650270,-1000604,-733913,-591178,-273565
1.32,41853,-35194,15.17,4.56,-1633618,-987412,-816328,-710935,-309974
1.09,73609,-72869,7.14,4.43,-1625217,-1036578,-836891,-792699,-267533
1.82,114146,-79914,6.97,3.64,-1754833,-1002397,-915582,-1038197,-267410
1.14,145639,-142829,7.34,4.23,-1764123,-1115065,-1006102,-1065635,-445928
5.91,257425,276747,6.6,4.05,-1959963,-1250099,-1144480,-1240285,-533480
1.14,39653,-34000,11.28,8.87,-1668119,-1006484,-888378,-1042316,-234419
1.34,45884,-36220,11.1,8.19,-1629789,-1035840,-836869,-1032611,-296565
1.32,42244,-36435,11.35,8.39,-1571020,-1083496,-745561,-1022912,-312533
1.62,49743,-32994,10.85,3.8,-1587725,-1120344,-725949,-562243,-229604
4.75,74868,49556,11.33,4.28,-1608195,-1151200,-834047,-516434,-242869
1.1,31123,-30094,10.17,7.69,-1620883,-1120724,-855087,-454126,-144152
1.58,34046,-26200,10.13,7.47,-1614803,-1081616,-931751,-406585,-139052
5.49,85507,21822,10.37,7.43,-1599396,-1122228,-1130580,-359793,-92383
12.48,52423,8913,14.54,8.17,-1518383,-1102168,-1056282,-436575,9353
1.9,29239,-19573,25.4,19.55,-1534835,-1008461,-1079190,-372385,161095
1.77,47714,-10011,22.55,19.87,-1511928,-987088,-1177541,-369644,-135225
5.1,97050,36174,23.22,16.15,-1538462,-945634,-1143847,-407801,-111236
1.94,42479,-20958,26.74,8.77,-1513283,-832965,-1061754,-351375,-38842
8.81,25766,19243,23.19,8.81,-1468913,-917815,-585608,-252969,-23365
21.21,30799,33419,19.52,15.85,-1399479,-947910,-487562,-213997,28872
2.01,33000,-15724,38.83,31.96,-1411055,-947745,-441391,-131417,12735
1.07,41465,-40756,39.07,32.03,-1476816,-948838,-379480,-111947,27105
1.8,56704,-19248,35.04,24.29,-1524906,-995416,-347244,-79834,12549
5.36,53643,31417,34.9,4.88,-1473537,-1025270,-465096,-19168,-28521
1.32,53195,-49012,31.45,8.23,-1395111,-989402,-378402,155078,-6017
2.19,61131,1726,11.56,8.48,-1520157,-1059059,-405100,-170681,-35456
1.45,27069,-16059,11.74,8.87,-1654813,-971824,-431520,-134955,-23719
5.7,56695,69806,12.12,4.96,-1691706,-860355,-427327,-114794,-75952
1.25,18601,-15526,16.02,9.34,-1639910,-734502,-238157,-8553,14812
6.89,70351,103342,11.91,8.4,-1608987,-825132,-233954,8915,-19957
3.76,13530,5059,17.48,13.84,-1531303,-792386,-81451,62701,49966
