배수,총배팅,1게임배수,2게임배수,3게임배수,4게임배수,5게임배수,6게임배수,7게임배수,8게임배수,9게임배수,10게임배수,100게임이득,50게임이득,10게임이득,5게임이득,3게임이득
1.11,81887,1.59,14.75,15.83,25.61,27.29,28.389999999999997,30.669999999999998,31.93,37.239999999999995,41.41,-816469,-566925,-114751,-19558,-32710
1,94989,1.11,2.7,15.86,16.94,26.72,28.4,29.499999999999996,31.779999999999998,33.04,38.349999999999994,-946537,-681369,-195952,-48293,-34416
1.58,88709,6.8,13.129999999999999,14.71,18.2,19.310000000000002,21.07,22.58,32.459999999999994,34.63999999999999,36.489999999999995,-996866,-937204,-96579,-48788,-14962
16.58,31781,1.88,7.17,50.870000000000005,52.02,53.940000000000005,55.02,56.410000000000004,57.86000000000001,59.43000000000001,60.7,-189489,932739,774400,1020837,1121861
1.1,68419,16.58,18.459999999999997,23.75,67.45,68.6,70.52000000000001,71.6,72.99000000000001,74.44,76.01,-138850,963318,878578,1119248,14848
2.13,40776,1.58,3.65,5.73,7.449999999999999,9.27,13.16,27.909999999999997,53.97,55.019999999999996,56.11,-928054,545240,185111,-1280,48676
1.16,83226,2.13,3.71,5.779999999999999,7.86,9.579999999999998,11.399999999999999,15.29,30.039999999999996,56.1,57.15,-852009,648426,186693,7142,-52385
1.4,66706,1.16,3.29,4.87,6.9399999999999995,9.02,10.739999999999998,12.559999999999999,16.45,31.199999999999996,57.26,-903295,481665,142995,-56020,-123233
1.27,60231,1.4,2.5599999999999996,4.6899999999999995,6.27,8.34,10.42,12.139999999999999,13.959999999999999,17.849999999999998,32.599999999999994,-897066,506969,10112,-193319,-163774
1.27,79322,1.27,2.67,3.8299999999999996,5.959999999999999,7.539999999999999,9.61,11.69,13.409999999999998,15.229999999999999,19.119999999999997,-890842,442871,-179458,-238955,-197578
5.09,56180,3.14,4.23,5.23,6.5600000000000005,7.83,9.1,10.5,11.66,13.79,15.37,-861074,459405,-273714,-34759,150792
5.41,40145,10.34,15.43,18.57,19.66,20.66,21.990000000000002,23.259999999999998,24.53,25.93,27.09,-536506,596144,-116692,266437,740111
1.46,94575,5.41,15.75,20.84,23.98,25.07,26.07,27.400000000000002,28.669999999999998,29.94,31.34,-444908,468501,-14458,491440,136023
1.73,37798,1.46,6.87,17.21,22.3,25.44,26.53,27.53,28.860000000000003,30.13,31.400000000000002,-376417,304628,-31332,684537,13151
1.28,35125,1.73,3.19,8.6,18.94,24.03,27.17,28.26,29.26,30.590000000000003,31.86,-307776,322662,7995,42754,-72891
11.77,38996,1.28,3.01,4.47,9.879999999999999,20.220000000000002,25.310000000000002,28.450000000000003,29.540000000000003,30.540000000000003,31.870000000000005,-176250,343345,51865,-36752,-125855
