2552889,1.6,80970,-55730
2552888,1.99,36384,-18976
2552887,66.32,120699,104858
2552886,1.35,63917,-57591
2552885,1.22,50174,-48417
2552884,1.06,28727,-28716
2552883,11.61,65067,70754
2552882,2.33,33517,-21358
2552881,1,30186,-30186
2552880,95.26,68327,98055
2552879,2.63,77830,14459
2552878,1.04,83581,-82557
2552877,1.32,46342,-42706
2552876,17.23,54685,49463
2552875,1.03,57746,-57742
2552874,17.24,42054,45527
2552873,53.61,87199,303029
2552872,1.43,79729,-51886
2552871,1.32,37921,-34074
2552870,2.55,42195,-9898
2552869,9.86,56016,20961
2552868,3.48,56974,36718
2552867,4.1,79570,41257
2552866,1.11,46545,-45822
2552865,1.01,42956,-42954
2552864,1.75,46372,-19869
2552863,2.62,79027,-4804
2552862,4.33,31179,14382
2552861,2.07,56383,-10461
2552860,27.51,33729,33395
2552859,1.16,47913,-47421
2552858,2.11,66738,-13268
2552857,13.62,148132,211558
2552856,1.44,127469,-91781
2552855,1.59,94865,-71288
2552854,1.35,83763,-67627
2552853,2.06,68176,-10651
2552852,1.27,72188,-50134
2552851,1.56,47687,-30076
2552850,2.19,45938,-17558
2552849,2.08,42155,-25062
2552848,10.28,71323,59299
2552847,1.81,32189,-16789
2552846,4.33,107306,71178
2552845,1,33415,-33415
2552844,4.02,113783,32774
2552843,1.63,94618,-38240
2552842,5.88,65086,63404
2552841,1.04,66203,-66199
2552840,2.16,73083,-14628
2552839,2.06,53884,-8102
2552838,1.91,79670,-38132
2552837,2.45,74843,7821
2552836,20.96,57861,34439
2552835,4.63,65018,40595
2552834,3.19,88917,39430
2552833,4.72,150124,33879
2552832,1.62,166809,-107314
2552831,1.59,58530,-51846
2552830,1.52,39636,-28124
2552829,3.52,51973,19198
2552828,11.18,54968,31220
2552827,2,58862,-18172
2552826,22.77,144861,88712
2552825,1.81,47022,-32131
2552824,1.33,62172,-59569
2552823,1.17,103342,-39857
2552822,1.84,37318,-20171
2552821,3.63,70227,24233
2552820,7.6,97445,108321
2552819,1,109907,-109907
2552818,1.68,163461,-39367
2552817,1.47,84601,-57881
2552816,1,29273,-29273
2552815,2.23,45414,1141
2552814,1.15,53110,-51328
2552813,3.04,79045,45063
2552812,1.17,73275,-66888
2552811,1.21,63243,-62960
2552810,4.94,47407,17849
2552809,1.26,25191,-17924
2552808,8.52,51448,42747
2552807,2.79,26745,-226
2552806,1.27,42863,-42691
2552805,3.49,66958,20302
2552804,6.29,84609,28507
2552803,1.62,72521,-68367
2552802,1.5,69852,-55635
2552801,1,70219,-70219
2552800,3.09,79237,77933
2552799,1.23,35042,-33776
2552798,1.35,30914,-23492
2552797,1.39,81099,-54447
2552796,3.71,74765,22833
2552795,4.88,91111,42081
2552794,3.53,103803,25234
2552793,3.58,97294,25932
2552792,9.67,78936,27635
2552791,4.14,48424,23883
2552790,2.1,98889,-9550
2552789,5.39,79501,30062
2552788,4.83,88075,98642
2552787,1.01,71481,-71477
2552786,1.59,114058,-77137
2552785,1.02,89978,-89974
2552784,1.14,97685,-77186
2552783,1.75,59804,-40961
2552782,5.22,29747,29707
2552781,1.27,43031,-42563
2552780,5.22,40264,32014
2552779,2.43,30182,-8502
2552778,11.33,64028,70404
2552777,20.47,46759,40319
2552776,1.08,38060,-35435
2552775,2.57,63774,-8626
2552774,18.14,103179,118007
2552773,1.94,58587,-23640
2552772,1.86,38780,-20376
2552771,11.69,68819,44601
2552770,7.12,56567,58375
2552769,1.77,63939,-52488
2552768,1.12,105332,-59718
2552767,26.11,49834,50339
2552766,3.56,102719,64568
2552765,1.01,100749,-100745
2552764,3.07,42135,14309
2552763,4.94,50483,25020
2552762,7.2,77117,72576
2552761,1.24,74269,-73009
2552760,1.16,54522,-52547
2552759,10,60551,56606
2552758,1.86,32590,-10717
2552757,1.56,61970,-34430
2552756,2.22,97912,-14840
2552755,10.25,56702,62501
2552754,1.34,57824,-50579
2552753,1,49576,-49576
2552752,1.63,41396,-30619
2552751,1,21359,-21359
2552750,1.88,41961,-20252
2552749,9.65,64336,27059
2552748,5.64,345798,465473
2552747,1.67,206794,-157356
2552746,1.17,155133,-104180
2552745,2.27,77103,-53572
2552744,1.61,84152,-69603
2552743,1.41,43015,-39836
2552742,1.08,55338,-55271
2552741,2.66,44967,4131
2552740,1.4,82735,-4715
2552739,1.51,33911,-27043
2552738,2.35,39004,90
2552737,19.4,38056,47854
2552736,1.39,28171,-19669
2552735,1.19,128083,-26848
2552734,4.8,98744,53573
2552733,6.93,73697,23010
2552732,10.45,77219,22637
2552731,2.24,77597,-2954
2552730,6,82382,132710
2552729,1.05,79490,-79361
2552728,1.74,80868,-71269
2552727,74.02,54365,81255
2552726,1.14,22055,-21583
2552725,12.35,76003,33424
2552724,14.96,37044,33608
2552723,1.18,21904,-21153
2552722,3.77,94901,48421
2552721,14.55,296754,413938
2552720,1.32,224877,-136628
2552719,2.02,113944,-80949
2552718,2.89,244453,131662
2552717,1.02,190365,-190362
2552716,1.77,77624,-51112
2552715,1.69,109333,-48726
2552714,2.04,40516,-19991
2552713,2.45,40176,6360
2552712,1.13,36970,-36535
2552711,2.75,33920,-376
2552710,3.53,61265,12104
2552709,2.05,33394,2979
2552708,9.75,145102,205620
2552707,3.04,148377,129713
2552706,1.63,48643,-42330
2552705,3.68,40407,33493
2552704,1,31961,-31961
2552703,4.54,44582,10931
